date,open,high,low,close,volume,volume.1,market_sentiment,news_sentiment
2025-06-26 22:45:00,107653.09,107674.47,107595.78,107647.43,625,0,,
2025-06-26 22:50:00,107640.1,107685.06,107537.57,107592.66,704,0,,
2025-06-26 22:55:00,107592.66,107717.6,107549.85,107592.57,974,0,,
2025-06-26 23:00:00,107592.57,107592.57,107506.91,107516.9,715,0,,
2025-06-26 23:05:00,107517.19,107711.74,107516.71,107693.17,829,0,,
2025-06-26 23:10:00,107693.42,107710.23,107597.96,107615.09,647,0,,
2025-06-26 23:15:00,107614.79,107682.65,107598.66,107649.07,654,0,,
2025-06-26 23:20:00,107649.26,107699.75,107575.26,107643.05,649,0,,
2025-06-26 23:25:00,107645.83,107695.75,107598.08,107672.32,513,0,,
2025-06-26 23:30:00,107672.7,107974.53,107668.93,107906.21,752,0,,
2025-06-26 23:35:00,107906.21,107970.82,107852.71,107885.32,740,0,,
2025-06-26 23:40:00,107885.96,108018.83,107884.23,108014.67,697,0,,
2025-06-26 23:45:00,108012.81,108050.79,107786.25,107791.8,944,0,,
2025-06-26 23:50:00,107791.8,107854.83,107756.74,107816.17,707,0,,
2025-06-26 23:55:00,107816.88,107843.8,107769.72,107829.0,523,0,,
2025-06-27 00:05:00,107748.29,107813.04,107625.01,107627.54,825,0,,
2025-06-27 00:10:00,107627.63,107628.13,107434.16,107472.37,542,0,,
2025-06-27 00:15:00,107472.58,107503.65,107376.66,107488.96,575,0,,
2025-06-27 00:20:00,107488.97,107489.51,107189.9,107270.1,746,0,,
2025-06-27 00:25:00,107272.57,107364.99,107272.57,107300.73,563,0,,
2025-06-27 00:30:00,107300.73,107388.43,106896.88,107017.79,689,0,,
2025-06-27 00:35:00,107007.34,107137.04,106847.29,107123.74,518,0,,
2025-06-27 00:40:00,107121.9,107123.74,106920.37,107007.27,521,0,,
2025-06-27 00:45:00,107007.52,107093.3,106938.47,107089.36,445,0,,
2025-06-27 00:50:00,107092.61,107142.21,107005.51,107021.23,309,0,,
2025-06-27 00:55:00,107024.9,107093.03,106972.68,107063.13,154,0,,
2025-06-27 01:00:00,107059.9,107268.0,106988.31,107227.89,613,0,,
2025-06-27 01:05:00,107226.52,107235.24,107088.78,107183.33,521,0,,
2025-06-27 01:10:00,107183.37,107197.47,107040.28,107067.42,648,0,,
2025-06-27 01:15:00,107070.62,107110.98,107004.49,107081.14,578,0,,
2025-06-27 01:20:00,107080.96,107242.29,107073.69,107235.62,801,0,,
2025-06-27 01:25:00,107234.96,107311.41,107217.69,107223.66,681,0,,
2025-06-27 01:30:00,107225.23,107281.22,107098.18,107136.33,714,0,,
2025-06-27 01:35:00,107136.35,107156.94,107075.76,107142.46,499,0,,
2025-06-27 01:40:00,107141.75,107141.75,106998.31,107007.08,550,0,,
2025-06-27 01:45:00,107002.93,107067.92,106999.43,107054.98,438,0,,
2025-06-27 01:50:00,107054.98,107167.45,107021.4,107031.8,559,0,,
2025-06-27 01:55:00,107028.32,107079.52,107014.94,107046.8,447,0,,
2025-06-27 02:00:00,107048.19,107080.62,106953.85,106955.93,766,0,,
2025-06-27 02:05:00,106955.88,106991.16,106924.64,106974.29,672,0,,
2025-06-27 02:10:00,106973.2,107056.25,106932.53,106940.23,628,0,,
2025-06-27 02:15:00,106940.23,107035.99,106934.17,107021.93,513,0,,
2025-06-27 02:20:00,107021.93,107134.47,106961.79,107103.13,667,0,,
2025-06-27 02:25:00,107103.24,107116.15,107049.0,107056.3,394,0,,
2025-06-27 02:30:00,107054.03,107059.26,106971.72,106983.67,633,0,,
2025-06-27 02:35:00,106983.42,107121.07,106981.24,107052.81,511,0,,
2025-06-27 02:40:00,107052.9,107052.9,106996.3,107031.18,545,0,,
2025-06-27 02:45:00,107028.38,107037.29,106928.82,106966.51,555,0,,
2025-06-27 02:50:00,106969.34,107040.26,106922.05,107016.52,560,0,,
2025-06-27 02:55:00,107016.4,107028.56,106974.84,107028.56,486,0,,
2025-06-27 03:00:00,107024.14,107067.81,106981.12,107041.73,723,0,,
2025-06-27 03:05:00,107042.97,107165.57,107009.12,107151.15,638,0,,
2025-06-27 03:10:00,107153.12,107221.07,107051.39,107062.81,654,0,,
2025-06-27 03:15:00,107063.01,107206.03,107062.85,107127.77,689,0,,
2025-06-27 03:20:00,107127.79,107238.87,107109.25,107192.37,552,0,,
2025-06-27 03:25:00,107192.38,107249.96,107147.19,107227.69,542,0,,
2025-06-27 03:30:00,107225.18,107247.95,107134.27,107190.74,661,0,,
2025-06-27 03:35:00,107190.92,107239.57,107177.21,107232.17,429,0,,
2025-06-27 03:40:00,107232.21,107244.36,106962.91,106984.06,784,0,,
2025-06-27 03:45:00,106984.42,106989.75,106878.36,106893.35,681,0,,
2025-06-27 03:50:00,106893.36,106920.64,106740.91,106751.81,897,0,,
2025-06-27 03:55:00,106748.44,106764.04,106713.83,106733.75,701,0,,
2025-06-27 04:00:00,106733.75,106786.61,106662.87,106695.28,971,0,,
2025-06-27 04:05:00,106698.08,106748.71,106472.42,106581.87,972,0,,
2025-06-27 04:10:00,106595.16,107003.65,106560.19,106957.67,1255,0,,
2025-06-27 04:15:00,106955.95,107076.42,106863.39,106863.95,976,0,,
2025-06-27 04:20:00,106863.95,107029.86,106863.95,107029.86,669,0,,
2025-06-27 04:25:00,107030.07,107126.72,106988.36,107052.78,788,0,,
2025-06-27 04:30:00,107052.78,107135.27,107027.51,107112.16,556,0,,
2025-06-27 04:35:00,107110.91,107154.5,107084.96,107120.12,625,0,,
2025-06-27 04:40:00,107120.12,107184.7,107115.48,107136.78,670,0,,
2025-06-27 04:45:00,107134.28,107251.44,107079.61,107189.77,693,0,,
2025-06-27 04:50:00,107189.86,107294.45,107143.83,107219.19,762,0,,
2025-06-27 04:55:00,107219.25,107222.99,107154.1,107185.64,552,0,,
2025-06-27 05:00:00,107185.6,107195.05,107107.07,107189.35,683,0,,
2025-06-27 05:05:00,107189.69,107284.0,107160.4,107281.52,605,0,,
2025-06-27 05:10:00,107277.9,107301.18,107242.12,107278.23,528,0,,
2025-06-27 05:15:00,107278.42,107355.55,107278.42,107342.68,588,0,,
2025-06-27 05:20:00,107352.84,107365.12,107307.3,107326.37,536,0,,
2025-06-27 05:25:00,107326.46,107342.97,107244.97,107273.41,629,0,,
2025-06-27 05:30:00,107281.7,107311.44,107251.29,107285.86,601,0,,
2025-06-27 05:35:00,107286.01,107353.46,107278.65,107304.19,476,0,,
2025-06-27 05:40:00,107304.42,107344.08,107287.73,107311.56,513,0,,
2025-06-27 05:45:00,107311.62,107348.2,107292.59,107310.59,395,0,,
2025-06-27 05:50:00,107310.92,107370.69,107282.15,107319.95,543,0,,
2025-06-27 05:55:00,107320.16,107356.31,107274.66,107324.58,439,0,,
2025-06-27 06:00:00,107324.91,107412.87,107300.9,107363.38,624,0,,
2025-06-27 06:05:00,107364.04,107366.88,107295.79,107359.39,511,0,,
2025-06-27 06:10:00,107357.53,107357.8,107227.29,107228.25,519,0,,
2025-06-27 06:15:00,107237.5,107377.13,107228.55,107348.99,509,0,,
2025-06-27 06:20:00,107348.27,107373.91,107342.87,107359.68,371,0,,
2025-06-27 06:25:00,107356.8,107426.78,107355.31,107402.62,544,0,,
2025-06-27 06:30:00,107402.74,107481.91,107400.61,107479.89,480,0,,
2025-06-27 06:35:00,107480.05,107559.3,107465.28,107523.86,515,0,,
2025-06-27 06:40:00,107524.31,107584.18,107513.51,107519.82,414,0,,
2025-06-27 06:45:00,107520.2,107549.0,107508.56,107539.91,474,0,,
2025-06-27 06:50:00,107542.34,107586.21,107542.34,107569.1,456,0,,
2025-06-27 06:55:00,107570.06,107594.04,107542.98,107562.86,476,0,,
2025-06-27 07:00:00,107563.66,107589.38,107526.0,107562.97,384,0,,
