date,open,high,low,close,volume,volume
2025-05-05 19:55:00,3310.56,3311.2,3308.94,3309.59,687,0
2025-05-05 20:00:00,3309.59,3311.82,3309.03,3311.56,715,0
2025-05-05 20:05:00,3311.51,3312.48,3311.04,3311.86,548,0
2025-05-05 20:10:00,3311.86,3312.59,3310.33,3311.65,589,0
2025-05-05 20:15:00,3311.66,3312.79,3309.83,3312.53,673,0
2025-05-05 20:20:00,3312.58,3313.82,3311.56,3313.73,693,0
2025-05-05 20:25:00,3313.73,3315.64,3312.55,3313.16,931,0
2025-05-05 20:30:00,3313.16,3316.19,3312.6,3314.44,674,0
2025-05-05 20:35:00,3314.36,3314.61,3311.54,3313.04,660,0
2025-05-05 20:40:00,3313.03,3314.31,3312.24,3314.25,526,0
2025-05-05 20:45:00,3314.25,3314.44,3312.44,3313.71,398,0
2025-05-05 20:50:00,3313.71,3315.6,3313.4,3315.37,561,0
2025-05-05 20:55:00,3315.39,3318.11,3315.27,3316.98,556,0
2025-05-05 21:00:00,3316.98,3316.98,3313.76,3314.5,725,0
2025-05-05 21:05:00,3314.5,3317.77,3314.37,3317.6,527,0
2025-05-05 21:10:00,3317.6,3317.76,3315.47,3316.2,642,0
2025-05-05 21:15:00,3316.22,3318.0,3315.73,3317.9,388,0
2025-05-05 21:20:00,3317.9,3318.6,3316.54,3318.37,539,0
2025-05-05 21:25:00,3318.37,3320.28,3317.89,3319.86,477,0
2025-05-05 21:30:00,3319.86,3320.12,3317.69,3318.57,577,0
2025-05-05 21:35:00,3318.57,3320.27,3317.65,3319.54,607,0
2025-05-05 21:40:00,3319.46,3321.87,3318.55,3321.16,635,0
2025-05-05 21:45:00,3321.21,3322.64,3320.65,3321.31,483,0
2025-05-05 21:50:00,3321.31,3321.78,3320.45,3320.75,618,0
2025-05-05 21:55:00,3320.75,3323.38,3320.75,3323.1,576,0
2025-05-05 22:00:00,3323.1,3324.41,3322.73,3323.62,769,0
2025-05-05 22:05:00,3323.64,3325.87,3323.64,3325.77,645,0
2025-05-05 22:10:00,3325.77,3327.08,3324.83,3325.94,628,0
2025-05-05 22:15:00,3325.94,3328.27,3325.49,3327.11,611,0
2025-05-05 22:20:00,3327.11,3330.24,3327.11,3330.14,861,0
